,Year,RS.biomass,Comp.VS.Biomass,K,rs_rel
1,1950,175865,40497.33125,210207.6,0.836625317
2,1951,173117,35243.6904,210207.6,0.823552526
3,1952,169622,30893.4078,210207.6,0.806926105
4,1953,165386,27391.20214,210207.6,0.786774598
5,1954,160915,24602.3987,210207.6,0.765505148
6,1955,156097,22386.9566,210207.6,0.742584949
7,1956,150803,20625.44682,210207.6,0.717400322
8,1957,144755,19201.44874,210207.6,0.688628765
9,1958,138592,18037.31909,210207.6,0.65931013
10,1959,130890,17085.42459,210207.6,0.62267016
11,1960,123056,16348.91127,210207.6,0.58540224
12,1961,114778,15862.00553,210207.6,0.546022123
13,1962,106366,15616.56462,210207.6,0.50600454
14,1963,98059,15511.94995,210207.6,0.466486464
15,1964,90449,15496.13973,210207.6,0.430284157
16,1965,82920,15549.36558,210207.6,0.394467184
17,1966,75578,15676.57612,210207.6,0.359539807
18,1967,69071,15862.87518,210207.6,0.328584694
19,1968,62336,16070.84131,210207.6,0.296544939
20,1969,55510,16300.09138,210207.6,0.264072279
21,1970,49331,16568.48571,210207.6,0.234677528
22,1971,43326,16917.3146,210207.6,0.206110531
23,1972,40658,17322.91437,210207.6,0.193418316
24,1973,35624,17749.46962,210207.6,0.169470561
25,1974,31705,18200.04849,210207.6,0.150827087
26,1975,29307,18624.29727,210207.6,0.139419317
27,1976,27132,19027.17146,210207.6,0.129072403
28,1977,24332,19367.67684,210207.6,0.115752237
29,1978,21571,19650.7823,210207.6,0.102617603
30,1979,19417,19925.90214,210207.6,0.09237059
31,1980,18733,20201.35849,210207.6,0.089116664
32,1981,18779,20475.23178,210207.6,0.089335495
33,1982,17619,20662.37096,210207.6,0.083817141
34,1983,16482,20871.26229,210207.6,0.078408202
35,1984,14558,20912.87655,210207.6,0.069255346
36,1985,14525,20717.00392,210207.6,0.069098358
37,1986,14253,20267.77196,210207.6,0.067804399
38,1987,13235,19715.01909,210207.6,0.062961568
39,1988,12836,19243.97844,210207.6,0.061063444
40,1989,13022,18939.07969,210207.6,0.061948284
41,1990,13245,18563.82987,210207.6,0.06300914
42,1991,15284,18103.71226,210207.6,0.072709074
43,1992,16708,17421.67139,210207.6,0.07948333
44,1993,17819,16381.48675,210207.6,0.084768581
45,1994,17940,15216.39134,210207.6,0.085344203
46,1995,19193,13633.20251,210207.6,0.091304977
47,1996,20062,12584.28453,210207.6,0.095438985
48,1997,21123,11626.94905,210207.6,0.100486376
49,1998,20686,11028.83968,210207.6,0.098407479
50,1999,21935,10278.01782,210207.6,0.104349224
51,2000,22967,10803.51648,210207.6,0.109258657
52,2001,23267,11332.03302,210207.6,0.110685817
53,2002,23524,11613.11635,210207.6,0.111908418
54,2003,23401,11696.85013,210207.6,0.111323282
55,2004,24349,11597.33769,210207.6,0.11583311
56,2005,24693,11215.23196,210207.6,0.117469587
57,2006,26932,11203.88775,210207.6,0.128120962
58,2007,29344,11840.06445,210207.6,0.139595333
59,2008,32023,11885.96833,210207.6,0.152339877
60,2009,37711,11418.83806,210207.6,0.179398842
61,2010,43896,10994.42574,210207.6,0.208822136
62,2011,51990,10954.46175,210207.6,0.247326928
63,2012,56399,11416.18429,210207.6,0.268301432
64,2013,61309,12004.32954,210207.6,0.291659293
65,2014,65382,12455.57206,210207.6,0.311035376
