Length,2009,2010,2011,2012,2013,2014
2.5,0.310072926,0.038864307,0,0.035682819,0.019130435,0.003527337
7.5,0.05182315,0.02868732,0,0.1407489,0.01673913,0.02469136
12.5,0.213719234,0.166887906,0.251728608,0.585638767,0.432771739,0.259082892
17.5,0.28281677,0.49301868,0.44161625,0.13729075,0.38722826,0.37477954
22.5,0.13518687,0.26369223,0.22994814,0.07640969,0.1276087,0.32204585
27.5,0.006381039,0.008849558,0.07346586,0.023348018,0.015434783,0.015873016
32.5,0,0,0.003241141,0.000881057,0,0
37.5,0,0,0,0,0.001086957,0
42.5,0,0,0,0,0,0
47.5,0,0,0,0,0,0
52.5,0,0,0,0,0,0
57.5,0,0,0,0,0,0
