"Year","Seas","Fleet","f"
2014,1,4,0.07356127
2014,1,5,0.00484971095786305
2015,1,4,0.07356127
2015,1,5,0.0052811410942522
2016,1,4,0.07356127
2016,1,5,0.00558901000489093
2017,1,4,0.07356127
2017,1,5,0.00586394716275359
2018,1,4,0.07356127
2018,1,5,0.00605906645489508
2019,1,4,0.07356127
2019,1,5,0.00628787632690559
2020,1,4,0.07356127
2020,1,5,0.006361328103387
2021,1,4,0.07356127
2021,1,5,0.00642909203431348
2022,1,4,0.07356127
2022,1,5,0.00649079206378057
2023,1,4,0.07356127
2023,1,5,0.00654617301099599
2024,1,4,0.07356127
2024,1,5,0.00659546991089999
2025,1,4,0.07356127
2025,1,5,0.00663657416431402
2026,1,4,0.07356127
2026,1,5,0.00666830388125264
2027,1,4,0.07356127
2027,1,5,0.00668973235252273
2028,1,4,0.07356127
2028,1,5,0.00670284730219068
2029,1,4,0.07356127
2029,1,5,0.00671318883956327
2030,1,4,0.07356127
2030,1,5,0.00671777537854086
2031,1,4,0.07356127
2031,1,5,0.0067196959497672
2032,1,4,0.07356127
2032,1,5,0.00672012572794373
2033,1,4,0.07356127
2033,1,5,0.00671670093309955
2034,1,4,0.07356127
2034,1,5,0.00671339701336753
2035,1,4,0.07356127
2035,1,5,0.0067111541085088
2036,1,4,0.07356127
2036,1,5,0.00670665486822333
2037,1,4,0.07356127
2037,1,5,0.00670265255895446
2038,1,4,0.07356127
2038,1,5,0.00669910017371413
2039,1,4,0.07356127
2039,1,5,0.00669594399023029
2040,1,4,0.07356127
2040,1,5,0.00669315043208288
2041,1,4,0.07356127
2041,1,5,0.00669066577699987
2042,1,4,0.07356127
2042,1,5,0.00668846316384518
2043,1,4,0.07356127
2043,1,5,0.00668650901619881
2044,1,4,0.07356127
2044,1,5,0.00668477647292469
2045,1,4,0.07356127
2045,1,5,0.00668323867288682
2046,1,4,0.07356127
2046,1,5,0.00668187547023317
2047,1,4,0.07356127
2047,1,5,0.0066806667191117
2048,1,4,0.07356127
2048,1,5,0.00667959227367038
2049,1,4,0.07356127
2049,1,5,0.00667865213390925
2050,1,4,0.07356127
2050,1,5,0.00667781272340822
2051,1,4,0.07356127
2051,1,5,0.00667707404216733
2052,1,4,0.07356127
2052,1,5,0.00667642265961853
2053,1,4,0.07356127
2053,1,5,0.00667583842990982
2054,1,4,0.07356127
2054,1,5,0.0066753347836092
2055,1,4,0.07356127
2055,1,5,0.00667489157486467
2056,1,4,0.07356127
2056,1,5,0.00667449537310819
2057,1,4,0.07356127
2057,1,5,0.00667413946305575
2058,1,4,0.07356127
2058,1,5,0.00667383727527539
2059,1,4,0.07356127
2059,1,5,0.00667356866391505
2060,1,4,0.07356127
2060,1,5,0.00667333362897476
2061,1,4,0.07356127
2061,1,5,0.00667312545517051
2062,1,4,0.07356127
2062,1,5,0.0066729441425023
2063,1,4,0.07356127
2063,1,5,0.00667278297568609
2064,1,4,0.07356127
2064,1,5,0.00667264867000593
2065,1,4,0.07356127
2065,1,5,0.00667252779489378
2066,1,4,0.07356127
2066,1,5,0.00667242706563366
2067,1,4,0.07356127
2067,1,5,0.00667233305165754
2068,1,4,0.07356127
2068,1,5,0.00667225918353346
2069,1,4,0.07356127
2069,1,5,0.00667219203069338
2070,1,4,0.07356127
2070,1,5,0.0066721315931373
2071,1,4,0.07356127
2071,1,5,0.00667207787086524
2072,1,4,0.07356127
2072,1,5,0.00667204429444519
2073,1,4,0.07356127
2073,1,5,0.00667200400274114
2074,1,4,0.07356127
2074,1,5,0.00667197042632111
2075,1,4,0.07356127
2075,1,5,0.00667194356518508
2076,1,4,0.07356127
2076,1,5,0.00667192341933305
2077,1,4,0.07356127
2077,1,5,0.00667190327348103
2078,1,4,0.07356127
2078,1,5,0.00661533372099617
2079,1,4,0.07356127
2079,1,5,0.0065598251833846
2080,1,4,0.07356127
2080,1,5,0.00650504861172993
2081,1,4,0.07356127
2081,1,5,0.00644833132299689
2082,1,4,0.07356127
2082,1,5,0.0063922318403926
2083,1,4,0.07356127
2083,1,5,0.00633828796395494
2084,1,4,0.07356127
2084,1,5,0.00628702348583655
2085,1,4,0.07356127
2085,1,5,0.00623829066978923
2086,1,4,0.07356127
2086,1,5,0.00619175643772619
2087,1,4,0.07356127
2087,1,5,0.00614732207497251
2088,1,4,0.07356127
2088,1,5,0.00610502518711862
2089,1,4,0.07356127
2089,1,5,0.00606495172979984
2090,1,4,0.07356127
2090,1,5,0.00602717624266867
2091,1,4,0.07356127
2091,1,5,0.00599174909035515
2092,1,4,0.07356127
2092,1,5,0.00595868168884209
2093,1,4,0.07356127
2093,1,5,0.00592793777559587
2094,1,4,0.07356127
2094,1,5,0.00589943542415157
2095,1,4,0.07356127
2095,1,5,0.00587311218236794
2096,1,4,0.07356127
2096,1,5,0.0058488451605476
2097,1,4,0.07356127
2097,1,5,0.00582635567440423
2098,1,4,0.07356127
2098,1,5,0.00580577064280558
2099,1,4,0.07356127
2099,1,5,0.00578692084059463
2100,1,4,0.07356127
2100,1,5,0.00576966524680723
2101,1,4,0.07356127
2101,1,5,0.0057538695557632
2102,1,4,0.07356127
2102,1,5,0.00573940819165159
2103,1,4,0.07356127
2103,1,5,0.00572616027936027
2104,1,4,0.07356127
2104,1,5,0.00571403583408352
2105,1,4,0.07356127
2105,1,5,0.0057029347980896
2106,1,4,0.07356127
2106,1,5,0.00569276785810122
2107,1,4,0.07356127
2107,1,5,0.00568345644529549
2108,1,4,0.07356127
2108,1,5,0.00567493139224712
2109,1,4,0.07356127
2109,1,5,0.00566712890375802
2110,1,4,0.07356127
2110,1,5,0.00565997981240292
2111,1,4,0.07356127
2111,1,5,0.00565342770979614
2112,1,4,0.07356127
2112,1,5,0.00564743096117684
2113,1,4,0.07356127
2113,1,5,0.00564194054497175
2114,1,4,0.07356127
2114,1,5,0.00563691415489164
2115,1,4,0.07356127
2115,1,5,0.00563230344089163
2116,1,4,0.07356127
2116,1,5,0.00562808758559129
