"V1","fit","lwr","upr"
2018,1253.69273934926,376.834516569069,2130.55096212944
2019,1253.69273934926,376.834516569069,2130.55096212944
2020,1253.69273934926,376.834516569069,2130.55096212944
2021,1255.14313130234,377.872974866183,2132.41328773849
2022,1255.14313130234,377.872974866183,2132.41328773849
2023,1256.55389221331,378.881362498746,2134.22642192788
2024,1256.55389221331,378.881362498746,2134.22642192788
2025,1256.55389221331,378.881362498746,2134.22642192788
2026,1195.78438610017,333.901491702663,2057.66728049767
2027,1195.78438610017,333.901491702663,2057.66728049767
2028,1195.78438610017,333.901491702663,2057.66728049767
2029,1152.12737382276,299.578898670434,2004.67584897508
2030,1152.12737382276,299.578898670434,2004.67584897508
2031,1152.12737382276,299.578898670434,2004.67584897508
2032,1152.12737382276,299.578898670434,2004.67584897508
2033,1089.45325768936,247.244365670648,1931.66214970807
2034,1090.59442757403,248.230230845958,1932.95862430211
2035,1090.59442757403,248.230230845958,1932.95862430211
2036,1090.59442757403,248.230230845958,1932.95862430211
2037,1061.44199087684,222.655978851212,1900.22800290246
2038,1061.44199087684,222.655978851212,1900.22800290246
2039,1062.47278749886,223.574126981,1901.37144801672
2040,1062.47278749886,223.574126981,1901.37144801672
2041,1034.19046755179,198.011023882499,1870.36991122108
2042,1034.19046755179,198.011023882499,1870.36991122108
2043,1034.19046755179,198.011023882499,1870.36991122108
2044,1034.19046755179,198.011023882499,1870.36991122108
2045,1006.83448285752,172.547155140015,1841.12181057502
2046,1007.69820117758,173.362284091084,1842.03411826408
2047,1007.69820117758,173.362284091084,1842.03411826408
2048,1007.69820117758,173.362284091084,1842.03411826408
2049,981.183443189468,148.006504382919,1814.36038199602
2050,981.183443189468,148.006504382919,1814.36038199602
2051,981.183443189468,148.006504382919,1814.36038199602
2052,981.183443189468,148.006504382919,1814.36038199602
2053,981.183443189468,148.006504382919,1814.36038199602
2054,956.276246029371,123.560195941619,1788.99229611712
2055,956.276246029371,123.560195941619,1788.99229611712
2056,954.930533741561,122.222040158437,1787.63902732468
2057,954.930533741561,122.222040158437,1787.63902732468
2058,954.930533741561,122.222040158437,1787.63902732468
2059,930.89423756032,98.021081868907,1763.76739325173
2060,930.89423756032,98.021081868907,1763.76739325173
2061,930.89423756032,98.021081868907,1763.76739325173
2062,930.89423756032,98.021081868907,1763.76739325173
2063,930.89423756032,98.021081868907,1763.76739325173
2064,930.89423756032,98.021081868907,1763.76739325173
2065,930.89423756032,98.021081868907,1763.76739325173
2066,931.561288174025,98.7003566377277,1764.42221971032
2067,931.561288174025,98.7003566377277,1764.42221971032
2068,931.561288174025,98.7003566377277,1764.42221971032
