year,bl_gt,sl_gt,fd_gt,bl_rs,sl_rs,fd_rs,bl_vs,sl_vs,fd_vs
2018,1,15,10,2,16,6,10,10,365
2019,1,15,10,2,16,6,10,10,365
2020,1,15,10,2,16,6,10,10,365
2021,1,15,20,2,16,6,10,10,365
2022,1,15,20,2,16,6,10,10,365
2023,1,15,30,2,16,6,10,10,365
2024,1,15,30,2,16,6,10,10,365
2025,1,15,40,2,16,6,10,10,365
2026,2,14,50,3,16,8,10,10,365
2027,2,14,50,3,16,8,10,10,365
2028,2,14,50,3,16,8,10,10,365
2029,2,14,50,4,16,8,10,10,365
2030,2,14,50,4,16,8,10,10,365
2031,2,14,50,4,16,8,10,10,365
2032,2,14,50,4,16,8,10,10,365
2033,2,14,50,5,16,10,10,10,365
2034,2,14,50,5,16,10,10,10,365
2035,2,14,50,5,16,10,10,10,365
2036,2,14,50,5,16,10,10,10,365
2037,2,14,50,5,16,15,10,10,365
2038,2,14,50,5,16,15,10,10,365
2039,2,14,50,5,16,15,10,10,365
2040,2,14,50,5,16,15,10,10,365
2041,2,14,50,5,16,20,10,10,365
2042,2,14,50,5,16,20,10,10,365
2043,2,14,50,5,16,20,10,10,365
2044,2,14,50,5,16,20,10,10,365
2045,2,14,50,5,16,25,10,10,365
2046,2,14,50,5,16,25,10,10,365
2047,2,14,50,5,16,25,10,10,365
2048,2,14,50,5,16,25,10,10,365
2049,2,14,50,5,16,30,10,10,365
2050,2,14,50,5,16,30,10,10,365
2051,2,14,50,5,16,30,10,10,365
2052,2,14,50,5,16,30,10,10,365
2053,2,14,50,5,16,30,10,10,365
2054,2,14,50,5,16,35,10,10,365
2055,2,14,50,5,16,35,10,10,365
2056,2,14,50,5,16,35,10,10,365
2057,2,14,50,5,16,35,10,10,365
2058,2,14,50,5,16,35,10,10,365
2059,2,14,50,5,16,40,10,10,365
2060,2,14,50,5,16,40,10,10,365
2061,2,14,50,5,16,40,10,10,365
2062,2,14,50,5,16,40,10,10,365
2063,2,14,50,5,16,40,10,10,365
2064,2,14,50,5,16,40,10,10,365
2065,2,14,50,5,16,40,10,10,365
2066,2,14,50,5,16,40,10,10,365
2067,2,14,50,5,16,40,10,10,365
2068,2,14,50,5,16,40,10,10,365
