Estimate Status,Year,Wave,State,Common Name,Fishing Mode,Fishing Area,Observed Harvest (A),PSE,Reported Harvest (B1),PSE,Released Alive (B2),PSE
FINAL,2000,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,93,83.3,0,.,74,97.5
FINAL,2000,JANUARY/FEBRUARY,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,257,105.1,0,.,0,.
FINAL,2000,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,7187,39,34,101.7,254,97.6
FINAL,2000,MARCH/APRIL,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,5851,96.4,0,.,0,.
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3166,56.5,0,.,29,98
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,24740,36.4,330,100.9,4850,94.2
FINAL,2000,MARCH/APRIL,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,6410,100,0,.,0,.
FINAL,2000,MAY/JUNE,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,8469,46,0,.,0,.
FINAL,2000,MAY/JUNE,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,9370,53.4,0,.,7332,71.6
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,3389,62.7,0,.,0,.
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,13822,30.5,75,99.9,1134,63.6
FINAL,2000,MAY/JUNE,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,2744,97.6
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,3550,63.7,0,.,66,103.7
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,961,98.6,0,.,0,.
FINAL,2000,JULY/AUGUST,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,861,97.2
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,1927,46.8,0,.,212,93.2
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,16064,27.7,0,.,0,.
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,1851,98.5,16789,98.5,0,.
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,3,54728,66.5,16019,69.3,10303,86.9
FINAL,2000,JULY/AUGUST,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,2101,99.7
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,765,58.3,0,.,141,100.1
FINAL,2000,SEPTEMBER/OCTOBER,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,1302,97,0,.,0,.
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,841,41.4,0,.,24,100.2
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,30026,25.1,123,99.2,2000,44.9
FINAL,2000,SEPTEMBER/OCTOBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,844,99.3
FINAL,2000,NOVEMBER/DECEMBER,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,453,69.7,0,.,0,.
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,2,575,64.8,0,.,0,.
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,CHARTER BOAT,3,8985,65.5,0,.,17,99.1
FINAL,2000,NOVEMBER/DECEMBER,FLORIDA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,2,0,.,0,.,14197,100
FINAL,2000,NOVEMBER/DECEMBER,LOUISIANA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,4,0,.,0,.,6971,100.7
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,CHARTER BOAT,1,152,86.9,0,.,64,98.6
FINAL,2001,JANUARY/FEBRUARY,ALABAMA,VERMILION SNAPPER,PRIVATE/RENTAL BOAT,1,2175,104.3,0,.,0,.
