Year,PC,HB,Total,prop,reg
2005,500080,203500,703580,0.289235055,East
2006,497529,198315,695844,0.284999224,East
2007,524915,132291,657206,0.20129305,East
2008,429652,193837,623489,0.31089081,East
2009,803599,266145,1069744,0.248793169,East
2010,535778,164181,699959,0.234558024,East
2011,1188802,376813,1565615,0.240680499,East
2012,714172,240140,954312,0.251636781,East
2013,1291233,266618,1557851,0.171144737,East
2014,1218725,297933,1516658,0.196440463,East
2015,1117297,295950,1413247,0.209411377,East
2016,1221762,336542,1558304,0.215966846,East
2017,1855180,422401,2277581,0.185460363,East
2005,2418,85399,87817,0.972465468,West
2006,15912,52496,68408,0.767395626,West
2007,14731,90846,105577,0.860471504,West
2008,29841,28496,58337,0.488472153,West
2009,1694,34130,35824,0.952713265,West
2010,74,58363,58437,0.998733679,West
2011,479,69251,69730,0.993130647,West
2012,44,64237,64281,0.999315505,West
2013,2859,75653,78512,0.963585184,West
2014,3983,67465,71448,0.944253163,West
2015,8067,70238,78305,0.896979759,West
2016,10408,70561,80969,0.871456977,West
2017,7229,51697,58926,0.877320707,West
