"","ID_CODE","fl_reg","choice","prim1_common","prim2_common","year","st","fsh_mode","area","wave","CATCH"
"1","1535720180219003",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,1
"2","1535720180219004",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,3
"3","1535720180219005",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,3
"4","1535720180219006",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,3
"5","1535720180219007",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,3
"6","1535720180219008",1,"vs","VERMILION SNAPPER","",2018,12,5,4,1,3
"7","1575120180401001",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,1
"8","1575120180401002",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,1
"9","1575120180401003",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,1
"10","1575120180429005",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,1
"11","1575120180429006",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"12","1575120180429007",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"13","1575120180429008",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"14","1575120180429009",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"15","1575120180429010",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"16","1575120180429011",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"17","1575120180429012",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,5,2,2,3
"18","1501720180407001",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,1
"19","1503220180310001",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,1
"20","1503220180310002",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,3
"21","1503220180310003",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,3
"22","1545320180325001",8,"gt","GRAY TRIGGERFISH","VERMILION SNAPPER",2018,1,7,2,2,1
"23","1545320180325002",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,1
"24","1545320180406001",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,2
"25","1545320180406008",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,2
"26","1573420180323003",8,"gt","GRAY TRIGGERFISH","COBIA",2018,1,7,2,2,1
"27","1573420180323004",8,"gt","GRAY TRIGGERFISH","",2018,1,7,2,2,1
"28","1572420180413001",1,"vs","VERMILION SNAPPER","GRAY TRIGGERFISH",2018,12,5,4,2,1
"29","1572420180413008",1,"vs","VERMILION SNAPPER","",2018,12,5,4,2,1
"30","1572420180413009",1,"vs","VERMILION SNAPPER","",2018,12,5,4,2,3
"31","1577120180331014",1,"gt","GRAY TRIGGERFISH","BANDED RUDDERFISH",2018,12,5,4,2,1
