"SR_LN(R0)","SR_BH_steep","Main_RecrDev_2008"
10.3723,0.579045,-0.126335
10.3758,0.578134,-0.120481
10.3714,0.579761,-0.114528
10.375,0.582328,-0.112789
10.3843,0.58234,-0.107222
10.4136,0.572004,-0.0958141
10.3943,0.578378,-0.109076
10.4176,0.573121,-0.0965635
10.4254,0.568527,-0.0982146
10.3931,0.574184,-0.116679
10.4165,0.56701,-0.109156
10.4007,0.57334,-0.10914
10.4073,0.571422,-0.111644
10.4082,0.568648,-0.118292
10.4089,0.572313,-0.107741
10.41,0.569912,-0.127856
10.4148,0.567378,-0.113189
10.4238,0.565891,-0.118799
10.4091,0.572498,-0.10721
10.4027,0.572999,-0.11158
10.3952,0.57305,-0.109702
10.3948,0.573681,-0.0965051
10.4057,0.569719,-0.0982576
10.4263,0.563297,-0.107588
10.4239,0.565205,-0.102474
10.411,0.57062,-0.101919
10.4011,0.577188,-0.0937753
10.3792,0.583324,-0.10112
10.3863,0.578682,-0.10592
10.3899,0.579992,-0.106607
10.3973,0.577593,-0.117575
10.3826,0.582267,-0.114225
10.3835,0.58556,-0.104862
10.397,0.579468,-0.0913903
10.3992,0.576791,-0.0956992
10.395,0.579639,-0.0993583
10.4056,0.576673,-0.105784
10.4085,0.574818,-0.119638
10.4233,0.575002,-0.1413
10.4428,0.567416,-0.134667
10.4264,0.580715,-0.130331
10.4187,0.578205,-0.142918
10.4268,0.5794,-0.132592
10.4409,0.577742,-0.137628
10.4383,0.579882,-0.142391
10.426,0.580713,-0.149726
10.4447,0.575482,-0.140996
10.4497,0.57113,-0.114629
10.4531,0.572382,-0.10527
10.4503,0.580017,-0.105625
10.4611,0.575785,-0.113994
10.4459,0.579688,-0.105924
10.4562,0.576056,-0.101552
10.442,0.582478,-0.0994087
10.4484,0.582907,-0.099179
10.4412,0.589046,-0.0924916
10.4425,0.591354,-0.0946141
10.4425,0.587029,-0.0860089
10.4266,0.594493,-0.0921662
10.4305,0.591814,-0.0726872
10.4475,0.588903,-0.0578564
10.4407,0.586484,-0.0604232
10.4436,0.590259,-0.0616541
10.4528,0.583093,-0.0581545
10.4521,0.58675,-0.0587169
10.4534,0.584516,-0.0478428
10.4696,0.584891,-0.0640161
10.4541,0.5908,-0.0527689
10.4299,0.59805,-0.0579897
10.4367,0.598107,-0.0307636
10.4365,0.595611,-0.00923343
10.4464,0.597371,-0.0218839
10.4361,0.602568,-0.013648
10.4359,0.596776,-0.0308464
10.4449,0.592459,-0.0304907
10.4482,0.58982,-0.0233911
10.4474,0.592598,-0.0331523
10.4544,0.589597,-0.0465379
10.4554,0.592448,-0.0583185
10.4521,0.594447,-0.0712452
10.4402,0.596092,-0.0675673
10.4418,0.593507,-0.060431
10.448,0.590242,-0.0656649
10.4447,0.590905,-0.0618424
10.4293,0.597365,-0.069645
10.427,0.597733,-0.0764277
10.419,0.599701,-0.0789362
10.4132,0.597969,-0.0868169
10.3958,0.607516,-0.10277
10.4243,0.595049,-0.097189
10.4141,0.599877,-0.101389
10.4212,0.597248,-0.102942
10.4241,0.600868,-0.114722
10.4382,0.59664,-0.122945
10.4283,0.595221,-0.154294
10.4297,0.593235,-0.16093
10.4184,0.592393,-0.152001
10.4137,0.596243,-0.142934
10.4058,0.603362,-0.142438
10.3989,0.604519,-0.1392
10.3996,0.604101,-0.149911
10.399,0.603368,-0.156965
10.3846,0.60935,-0.149496
10.3703,0.610851,-0.167013
10.3719,0.612033,-0.150085
10.3932,0.609499,-0.164155
10.3892,0.610377,-0.160495
10.3951,0.607797,-0.159733
10.3954,0.603619,-0.177989
10.3936,0.602051,-0.188808
10.4067,0.597237,-0.18141
10.4064,0.596949,-0.172699
10.402,0.598867,-0.160581
10.4099,0.598577,-0.167452
10.4087,0.59581,-0.176169
10.412,0.593476,-0.166478
10.4141,0.589157,-0.170855
10.4259,0.581895,-0.168288
10.4208,0.57677,-0.203649
10.4322,0.57314,-0.213276
10.4423,0.573016,-0.217659
10.4388,0.569999,-0.211939
10.4576,0.563801,-0.229907
10.4635,0.5626,-0.201724
10.4575,0.564927,-0.210753
10.4635,0.564784,-0.176674
10.4691,0.55991,-0.179512
10.4649,0.56057,-0.180432
10.4627,0.56599,-0.165883
10.4754,0.558674,-0.160018
10.4542,0.567426,-0.154493
10.4506,0.571632,-0.169491
10.4485,0.57412,-0.191271
10.4564,0.574632,-0.17688
10.443,0.58049,-0.176756
10.4356,0.581716,-0.180826
10.4486,0.578887,-0.177508
10.434,0.581346,-0.196293
10.4204,0.584366,-0.180912
10.4337,0.582818,-0.185165
10.4304,0.581065,-0.180745
10.4356,0.57844,-0.180482
10.4301,0.578332,-0.20235
10.4131,0.589266,-0.18272
10.4095,0.591582,-0.19199
10.4045,0.591507,-0.201839
10.4111,0.588293,-0.216172
10.4153,0.584301,-0.21709
