"Objective_function","Main_RecrDev_1994","Main_RecrDev_1995","Main_RecrDev_1996","Main_RecrDev_1997","Main_RecrDev_1998","Main_RecrDev_1999","Main_RecrDev_2000","Main_RecrDev_2001","Main_RecrDev_2002","Main_RecrDev_2003","Main_RecrDev_2004","Main_RecrDev_2005","Main_RecrDev_2006","Main_RecrDev_2007","Main_RecrDev_2008","Main_RecrDev_2009","Main_RecrDev_2010","Main_RecrDev_2011","Main_RecrDev_2012"
257.001,-0.124712,-0.330596,-0.31218,0.131491,-0.396159,0.351051,0.362029,0.0707861,0.13836,-0.0288404,-0.31226,-0.0968168,0.297439,-0.164981,-0.126335,-0.417695,0.190031,0.501115,0.268272
260.679,-0.132689,-0.312533,-0.320109,0.130194,-0.400837,0.360359,0.374928,0.104347,0.105338,-0.0103452,-0.300897,-0.109636,0.299315,-0.19432,-0.120481,-0.424193,0.187041,0.499763,0.264756
261.079,-0.117004,-0.318747,-0.319325,0.109533,-0.417832,0.349189,0.398443,0.10007,0.0861458,-0.0106388,-0.304517,-0.120916,0.295167,-0.183969,-0.114528,-0.443586,0.191786,0.496744,0.323985
258.857,-0.109372,-0.294684,-0.319289,0.0864776,-0.404829,0.347997,0.396616,0.102436,0.0620762,-0.0232194,-0.319979,-0.110427,0.297978,-0.194037,-0.112789,-0.420718,0.194829,0.491676,0.329257
257.161,-0.0977841,-0.272039,-0.32453,0.0683974,-0.407322,0.346283,0.3975,0.0981209,0.0897543,-0.0155093,-0.334669,-0.126792,0.307699,-0.201463,-0.107222,-0.444225,0.208564,0.47854,0.336698
252.922,-0.0635238,-0.287371,-0.331952,0.0582714,-0.386586,0.336734,0.402091,0.0908466,0.10684,-0.00120986,-0.350189,-0.13744,0.313974,-0.206265,-0.0958141,-0.429938,0.211632,0.481653,0.288248
254.691,-0.071602,-0.274686,-0.307789,0.0688186,-0.383165,0.336418,0.39814,0.0941396,0.104397,0.00252291,-0.357806,-0.147635,0.312781,-0.195994,-0.109076,-0.418611,0.189003,0.502599,0.257546
256.093,-0.0673442,-0.235727,-0.298844,0.0515913,-0.379098,0.326514,0.404681,0.0947329,0.124812,-0.00783334,-0.371546,-0.158255,0.295658,-0.186062,-0.0965635,-0.417149,0.187583,0.522266,0.210583
256.757,-0.0730805,-0.242804,-0.309098,0.0487814,-0.372698,0.351703,0.385644,0.0919644,0.135791,-0.00655808,-0.37007,-0.15569,0.305067,-0.176678,-0.0982146,-0.421147,0.204679,0.505207,0.197201
262.783,-0.069302,-0.231303,-0.277746,0.0582548,-0.348875,0.359856,0.37597,0.0851895,0.119101,-0.00812763,-0.376846,-0.171028,0.313403,-0.176681,-0.116679,-0.413256,0.194681,0.508135,0.175254
258.978,-0.0578589,-0.214589,-0.273706,0.0535054,-0.35701,0.364562,0.372456,0.083562,0.123963,-0.00853708,-0.373741,-0.176024,0.31934,-0.175251,-0.109156,-0.420035,0.176317,0.512359,0.159845
